Diameter,run,Time,Stimulus
59.985,3,5.22,red
59.985,3,5.24,red
59.985,3,5.26,red
59.985,3,5.28,red
59.985,3,5.3,red
59.985,3,5.32,red
59.985,3,5.34,red
59.985,3,5.36,red
59.985,3,5.38,red
60.035,3,5.4,red
60.035,3,5.42,red
60.06,3,5.44,red
60.095,3,5.46,red
60.095,3,5.48,red
60.06,3,5.5,red
60.06,3,5.5200000000000005,red
60.06,3,5.54,red
60.06,3,5.5600000000000005,red
60.095,3,5.58,red
60.095,3,5.6000000000000005,red
60.095,3,5.62,red
60.185,3,5.640000000000001,red
60.215,3,5.66,red
60.224999999999994,3,5.68,red
60.355000000000004,3,5.7,red
60.355000000000004,3,5.72,red
60.224999999999994,3,5.74,red
60.224999999999994,3,5.76,red
60.355000000000004,3,5.78,red
60.405,3,5.8,red
60.52,3,5.82,red
60.405,3,5.84,red
60.545,3,5.86,red
60.735,3,5.88,red
60.74,3,5.9,red
60.765,3,5.92,red
60.775,3,5.94,red
60.775,3,5.96,red
60.775,3,5.98,red
60.815,3,6,red
60.88,3,6.02,red
60.88,3,6.040000000000001,red
60.88,3,6.0600000000000005,red
60.94499999999999,3,6.08,red
60.94499999999999,3,6.1,red
60.964999999999996,3,6.120000000000001,red
60.94499999999999,3,6.140000000000001,red
60.94499999999999,3,6.16,red
60.94499999999999,3,6.18,red
60.964999999999996,3,6.199999999999999,red
60.964999999999996,3,6.220000000000001,red
60.964999999999996,3,6.24,red
60.964999999999996,3,6.26,red
60.94499999999999,3,6.279999999999999,red
60.94499999999999,3,6.300000000000001,red
60.94499999999999,3,6.32,red
60.964999999999996,3,6.34,red
60.94499999999999,3,6.359999999999999,red
60.964999999999996,3,6.380000000000001,red
60.964999999999996,3,6.4,red
61.115,3,6.42,red
61.125,3,6.4399999999999995,red
61.125,3,6.460000000000001,red
61.125,3,6.48,red
61.07,3,6.5,red
61.07,3,6.52,red
61.07,3,6.540000000000001,red
61.07,3,6.5600000000000005,red
60.92,3,6.58,red
60.92,3,6.6,red
61.05,3,6.620000000000001,red
61.05,3,6.640000000000001,red
61.05,3,6.66,red
60.92,3,6.68,red
60.849999999999994,3,6.700000000000001,red
60.92,3,6.720000000000001,red
60.92,3,6.74,red
60.98,3,6.76,red
60.92,3,6.779999999999999,red
60.92,3,6.800000000000001,red
60.92,3,6.82,red
60.92,3,6.84,red
60.92,3,6.859999999999999,red
60.92,3,6.880000000000001,red
60.765,3,6.9,red
60.765,3,6.92,red
60.765,3,6.9399999999999995,red
60.730000000000004,3,6.960000000000001,red
60.69500000000001,3,6.98,red
60.69,3,7,red
60.69,3,7.02,red
60.69500000000001,3,7.040000000000001,red
60.69500000000001,3,7.0600000000000005,red
60.69500000000001,3,7.08,red
60.709999999999994,3,7.1,red
60.709999999999994,3,7.120000000000001,red
60.709999999999994,3,7.140000000000001,red
60.730000000000004,3,7.16,red
60.709999999999994,3,7.18,red
60.709999999999994,3,7.200000000000001,red
60.730000000000004,3,7.220000000000001,red
60.730000000000004,3,7.24,red
60.709999999999994,3,7.26,red
60.730000000000004,3,7.279999999999999,red
60.730000000000004,3,7.300000000000001,red
60.765,3,7.32,red
60.765,3,7.34,red
60.765,3,7.359999999999999,red
60.765,3,7.380000000000001,red
60.765,3,7.4,red
60.709999999999994,3,7.42,red
60.709999999999994,3,7.4399999999999995,red
60.709999999999994,3,7.460000000000001,red
60.81,3,7.48,red
60.81,3,7.5,red
60.81,3,7.52,red
60.815000000000005,3,7.540000000000001,red
60.815000000000005,3,7.5600000000000005,red
60.989999999999995,3,7.58,red
60.989999999999995,3,7.6,red
61.045,3,7.620000000000001,red
60.989999999999995,3,7.640000000000001,red
61.045,3,7.66,red
61.045,3,7.68,red
60.989999999999995,3,7.700000000000001,red
61.055,3,7.720000000000001,red
61.055,3,7.74,red
61.1,3,7.76,red
61.1,3,7.779999999999999,red
61.120000000000005,3,7.800000000000001,red
61.1,3,7.82,red
61.120000000000005,3,7.84,red
61.120000000000005,3,7.859999999999999,red
61.120000000000005,3,7.880000000000001,red
61.1,3,7.9,red
61.1,3,7.92,red
61.120000000000005,3,7.9399999999999995,red
61.13,3,7.960000000000001,red
61.120000000000005,3,7.98,red
61.13,3,8,red
61.135,3,8.02,red
61.16,3,8.040000000000001,red
61.135000000000005,3,8.06,red
61.135000000000005,3,8.08,red
61.16,3,8.1,red
61.489999999999995,3,8.120000000000001,red
61.58,3,8.14,red
61.58,3,8.16,red
61.58,3,8.18,red
61.58,3,8.200000000000001,red
61.58,3,8.22,red
61.489999999999995,3,8.24,red
61.58,3,8.26,red
61.58,3,8.28,red
61.515,3,8.3,red
61.489999999999995,3,8.32,red
61.489999999999995,3,8.34,red
61.445,3,8.36,red
61.445,3,8.38,red
61.489999999999995,3,8.4,red
61.445,3,8.42,red
61.485,3,8.44,red
61.485,3,8.46,red
61.485,3,8.48,red
61.485,3,8.5,red
61.445,3,8.52,red
61.445,3,8.540000000000001,red
61.485,3,8.56,red
61.485,3,8.58,red
61.485,3,8.6,red
61.445,3,8.620000000000001,red
61.485,3,8.64,red
61.485,3,8.66,red
61.485,3,8.68,red
61.485,3,8.700000000000001,red
61.445,3,8.72,red
61.445,3,8.74,red
61.485,3,8.76,red
61.515,3,8.78,red
61.515,3,8.8,red
61.515,3,8.82,red
61.485,3,8.84,red
61.485,3,8.86,red
61.55500000000001,3,8.88,red
61.55500000000001,3,8.9,red
61.7,3,8.92,red
61.7,3,8.94,red
61.7,3,8.96,red
61.7,3,8.98,red
61.834999999999994,3,9,red
61.834999999999994,3,9.02,red
61.834999999999994,3,9.040000000000001,red
62.07,3,9.06,red
61.974999999999994,3,9.08,red
61.974999999999994,3,9.1,red
61.834999999999994,3,9.120000000000001,red
61.834999999999994,3,9.14,red
61.834999999999994,3,9.16,red
61.7,3,9.18,red
61.834999999999994,3,9.200000000000001,red
61.7,3,9.22,red
61.7,3,9.24,red
61.545,3,9.26,red
61.495000000000005,3,9.28,red
61.495000000000005,3,9.3,red
61.495000000000005,3,9.32,red
61.464999999999996,3,9.34,red
61.41,3,9.36,red
61.41,3,9.38,red
61.370000000000005,3,9.4,red
61.105000000000004,3,9.42,red
61.075,3,9.44,red
61.075,3,9.46,red
61.105000000000004,3,9.48,red
61.105000000000004,3,9.5,red
61.105000000000004,3,9.52,red
61.105000000000004,3,9.540000000000001,red
61.105000000000004,3,9.56,red
61.105000000000004,3,9.58,red
61.41,3,9.6,red
61.16,3,9.620000000000001,red
61.16,3,9.64,red
61.105000000000004,3,9.66,red
61.16,3,9.68,red
61.16,3,9.700000000000001,red
61.105000000000004,3,9.72,red
61.105000000000004,3,9.74,red
61.105000000000004,3,9.76,red
61.085,3,9.78,red
61.105000000000004,3,9.8,red
61.16,3,9.82,red
61.41,3,9.84,red
61.425,3,9.86,red
61.425,3,9.88,red
